Bug,Framework,Source of Bug,Bug Type,Symptom,Root Cause
https://github.com/OpenMined/PySyft/issues/5608,PySyft,FL framework,Framework evolution,Crash,FL Framework Evolution
https://github.com/OpenMined/PySyft/issues/5530,PySyft,FL framework,Framework evolution,Crash,FL Framework Evolution
https://github.com/OpenMined/PySyft/issues/5507,PySyft,FL framework,Framework evolution,Crash,FL Framework Evolution
https://github.com/OpenMined/PySyft/issues/5132,PySyft,FL framework,Framework evolution,Crash,FL Framework Evolution
https://github.com/OpenMined/PySyft/issues/4917,PySyft,FL framework,Framework evolution,Crash,FL Framework Evolution
https://github.com/OpenMined/PySyft/issues/4745,PySyft,FL framework,FL-Others,Crash,API Evolution Issue
https://github.com/OpenMined/PySyft/issues/4495,PySyft,FL framework,Framework evolution,Crash,FL Framework Evolution
https://github.com/OpenMined/PySyft/issues/4492,PySyft,FL framework,Framework evolution,Crash,FL Framework Evolution
https://github.com/OpenMined/PySyft/issues/4491,PySyft,FL framework,Framework evolution,Crash,FL Framework Evolution
https://github.com/OpenMined/PySyft/issues/3774,PySyft,FL application,FL Configuration,Connection Refused,Improper Interaction Initialization/Establiah
https://github.com/OpenMined/PySyft/issues/3558,PySyft,FL application,Environment,Crash,Unclear Environmental Issue
https://github.com/OpenMined/PySyft/issues/3464,PySyft,FL framework,FL Configuration,Incorrect Functionality,Improper Interaction Initialization/Establiah
https://github.com/OpenMined/PySyft/issues/3463,PySyft,FL application,Framework evolution,Crash,FL Framework Evolution
https://github.com/OpenMined/PySyft/issues/3388,PySyft,FL application,Dependency,Crash,Dependency Incompatibility
https://github.com/OpenMined/PySyft/issues/3369,PySyft,FL framework,Model building,Incorrect Functionality,Unsuitable ML/DL Algorithm Selection
https://github.com/OpenMined/PySyft/issues/3261,PySyft,FL framework,Transformation & Transfer,Incorrect Functionality,Incorrect Tensor-related Implementation
https://github.com/OpenMined/PySyft/issues/3260,PySyft,FL framework,Security mechanism,Crash,Incorrect Parameter/Message Transfer
https://github.com/OpenMined/PySyft/issues/3259,PySyft,FL framework,Transformation & Transfer,Crash,Incorrect Tensor-related Implementation
https://github.com/OpenMined/PySyft/issues/3250,PySyft,FL application,Misuse,Incorrect Functionality,API Misuse
https://github.com/OpenMined/PySyft/issues/3245,PySyft,FL framework,FL Configuration,Crash,Improper Interaction Initialization/Establiah
https://github.com/OpenMined/PySyft/issues/3214,PySyft,FL framework,Transformation & Transfer,Incorrect Functionality,Incorrect Parameter/Message Transfer
https://github.com/OpenMined/PySyft/issues/3174,PySyft,FL application,Environment,Crash,Unclear Environmental Issue
https://github.com/OpenMined/PySyft/issues/3131,PySyft,FL framework,Model building,Crash,Unsuitable ML/DL Algorithm Selection
https://github.com/OpenMined/PySyft/issues/3095,PySyft,FL application,Misuse,Crash,"Incorrect Data Type, Shape & Format"
