Bug,Framework,Source of Bug,Bug Type,Root Cause
https://github.com/OpenMined/PySyft/pull/4640,PySyft,FL framework,Transformation & Transfer,Incorrect Parameter/Message Transfer
https://github.com/OpenMined/PySyft/pull/3705,PySyft,FL framework,Security mechanism,Missing/Incorrect Exception Checking
https://github.com/OpenMined/PySyft/pull/3680,PySyft,FL framework,Security mechanism,Missing/Incorrect Encryption Implementation
https://github.com/OpenMined/PySyft/pull/3679,PySyft,FL framework,Data loading & processing,"Incorrect Data Type, Shape & Format"
https://github.com/OpenMined/PySyft/pull/3595,PySyft,FL framework,Transformation & Transfer,Improper Interaction Initialization/Establiah
https://github.com/OpenMined/PySyft/pull/3593,PySyft,FL framework,FL Configuration,Incorrect Parameter/Message Transfer
https://github.com/OpenMined/PySyft/pull/3591,PySyft,FL framework,FL Configuration,Improper Interaction Initialization/Establiah
https://github.com/OpenMined/PySyft/pull/3567,PySyft,FL framework,Client computation,Improper Hyperparameter
https://github.com/OpenMined/PySyft/pull/3563,PySyft,FL framework,FL Configuration,Incorrect Parameter/Message Transfer
https://github.com/OpenMined/PySyft/pull/3560,PySyft,FL framework,Dependency,Wrong Dependency Import
https://github.com/OpenMined/PySyft/pull/3525,PySyft,FL framework,Model building,Improper Interaction Initialization/Establiah
https://github.com/OpenMined/PySyft/pull/3511,PySyft,FL framework,Dependency,Missing Dependency Import
https://github.com/OpenMined/PySyft/pull/3405,PySyft,FL framework,FL Configuration,Improper Interaction Initialization/Establiah
https://github.com/OpenMined/PySyft/pull/3396,PySyft,FL framework,Data loading & processing,"Incorrect Data Type, Shape & Format"
https://github.com/OpenMined/PySyft/pull/3376,PySyft,FL framework,Model building,Incorrect Tensor-related Implementation
https://github.com/OpenMined/PySyft/pull/3288,PySyft,FL framework,Environment,Dependency Incompatibility
https://github.com/OpenMined/PySyft/pull/3285,PySyft,FL framework,Transformation & Transfer,Incorrect Tensor-related Implementation
https://github.com/OpenMined/PySyft/pull/3271,PySyft,FL framework,Transformation & Transfer,Incorrect Tensor-related Implementation
https://github.com/OpenMined/PySyft/pull/3205,PySyft,FL framework,Model building,Improper Hyperparameter
https://github.com/OpenMined/PySyft/pull/3199,PySyft,FL framework,Model building,Others
https://github.com/OpenMined/PySyft/pull/3196,PySyft,FL framework,Dependency,Dependency Incompatibility
https://github.com/OpenMined/PySyft/pull/3067,PySyft,FL framework,Framework evolution,FL Framework Evolution
https://github.com/OpenMined/PySyft/pull/2749,PySyft,FL framework,Dependency,Wrong Dependency Import
https://github.com/OpenMined/PySyft/pull/2733,PySyft,FL framework,Broadcast,Incorrect Parameter/Message Transfer
https://github.com/OpenMined/PySyft/pull/2733,PySyft,FL framework,Aggregation & Update,Incorrect Parameter/Message Transfer
https://github.com/OpenMined/PySyft/pull/2543,PySyft,FL framework,Security mechanism,"Incorrect Data Type, Shape & Format"
https://github.com/OpenMined/PySyft/pull/2491,PySyft,FL framework,Dependency,Dependency Incompatibility
https://github.com/OpenMined/PySyft/pull/2437,PySyft,FL framework,Security mechanism,Missing/Incorrect Exception Checking
https://github.com/OpenMined/PySyft/pull/2431,PySyft,FL framework,FL Configuration,Improper Interaction Initialization/Establiah
https://github.com/OpenMined/PySyft/pull/2407,PySyft,FL framework,Data loading & processing,Incorrect Data Split
https://github.com/OpenMined/PySyft/pull/2395,PySyft,FL framework,FL Configuration,Improper Interaction Initialization/Establiah
https://github.com/OpenMined/PySyft/pull/2339,PySyft,FL framework,FL Configuration,Incorrect FL Algorithm Implementation
https://github.com/OpenMined/PySyft/pull/2262,PySyft,FL framework,Model building,Missing/Incorrect Exception Checking
https://github.com/OpenMined/PySyft/pull/2239,PySyft,FL framework,Security mechanism,Missing/Incorrect Exception Checking
https://github.com/OpenMined/PySyft/pull/2102,PySyft,FL framework,Data loading & processing,"Incorrect Data Type, Shape & Format"
https://github.com/OpenMined/PySyft/pull/2050,PySyft,FL framework,Client computation,Incorrect Tensor-related Implementation
https://github.com/OpenMined/PySyft/pull/1736,PySyft,FL framework,Broadcast,Improper Interaction Initialization/Establiah
https://github.com/OpenMined/PySyft/pull/1736,PySyft,FL framework,Aggregation & Update,Improper Interaction Initialization/Establiah
https://github.com/OpenMined/PySyft/pull/1646,PySyft,FL framework,Data loading & processing,Data-Others
https://github.com/OpenMined/PySyft/pull/1643,PySyft,FL framework,Dependency,Wrong Dependency Import
https://github.com/OpenMined/PySyft/pull/742,PySyft,FL framework,FL Configuration,Improper Interaction Initialization/Establiah
https://github.com/OpenMined/PySyft/pull/740,PySyft,FL framework,Model building,Incorrect Training Strategy
https://github.com/OpenMined/PySyft/pull/314,PySyft,FL framework,Transformation & Transfer,Incorrect Tensor-related Implementation
https://github.com/OpenMined/PySyft/pull/145,PySyft,FL framework,FL-Others,Incorrect Tensor-related Implementation
https://github.com/FederatedAI/FATE/pull/2578,FATE,FL framework,Model building,Incorrect FL Algorithm Implementation
https://github.com/FederatedAI/FATE/pull/2518,FATE,FL framework,Data loading & processing,API Misuse
https://github.com/FederatedAI/FATE/pull/2450,FATE,FL framework,Model building,"Incorrect Data Type, Shape & Format"
https://github.com/FederatedAI/FATE/pull/2432,FATE,FL framework,Prediction & Evaluation,Others
https://github.com/FederatedAI/FATE/pull/2400,FATE,FL framework,Client computation,Improper Interaction Initialization/Establiah
https://github.com/FederatedAI/FATE/pull/2384,FATE,FL framework,FL-Others,Improper Interaction Initialization/Establiah
https://github.com/FederatedAI/FATE/pull/2309,FATE,FL framework,Security mechanism,Incorrect Tensor-related Implementation
