Bug,Framework,created_time,closed_time,lifecycle
https://github.com/OpenMined/PySyft/issues/5608,PySyft,2021-05-27 12:59:37,2021-05-28 09:32:25,20:32:48
https://github.com/OpenMined/PySyft/issues/5559,PySyft,2021-05-13 03:28:40,2021-06-01 07:07:43,"19 days, 3:39:03"
https://github.com/OpenMined/PySyft/issues/5530,PySyft,2021-05-02 13:14:48,2021-06-01 11:01:43,"29 days, 21:46:55"
https://github.com/OpenMined/PySyft/issues/5132,PySyft,2021-02-09 15:47:25,2021-04-21 09:21:39,"70 days, 17:34:14"
https://github.com/OpenMined/PySyft/issues/5080,PySyft,2021-02-01 07:03:54,2021-04-21 07:51:47,"79 days, 0:47:53"
https://github.com/OpenMined/PySyft/issues/4961,PySyft,2020-12-29 19:42:59,2021-04-07 18:40:29,"98 days, 22:57:30"
https://github.com/OpenMined/PySyft/issues/4917,PySyft,2020-12-16 04:11:59,2021-04-21 09:21:09,"126 days, 5:09:10"
https://github.com/OpenMined/PySyft/issues/4745,PySyft,2020-10-28 20:59:09,2021-01-22 05:39:45,"85 days, 8:40:36"
https://github.com/OpenMined/PySyft/issues/4495,PySyft,2020-08-28 08:57:33,2020-11-19 13:30:13,"83 days, 4:32:40"
https://github.com/OpenMined/PySyft/issues/4492,PySyft,2020-08-26 21:41:44,2020-11-19 13:30:02,"84 days, 15:48:18"
https://github.com/OpenMined/PySyft/issues/4491,PySyft,2020-08-26 17:54:50,2020-11-19 13:29:57,"84 days, 19:35:07"
https://github.com/OpenMined/PySyft/issues/3774,PySyft,2020-06-23 09:59:53,2020-06-24 02:46:17,16:46:24
https://github.com/OpenMined/PySyft/issues/3558,PySyft,2020-05-20 07:25:12,2020-05-20 17:08:25,9:43:13
https://github.com/OpenMined/PySyft/issues/3503,PySyft,2020-05-11 16:57:47,2020-05-24 20:15:42,"13 days, 3:17:55"
https://github.com/OpenMined/PySyft/issues/3464,PySyft,2020-05-07 17:57:13,2020-05-14 16:03:08,"6 days, 22:05:55"
https://github.com/OpenMined/PySyft/issues/3463,PySyft,2020-05-07 16:09:13,2020-05-07 16:26:09,0:16:56
https://github.com/OpenMined/PySyft/issues/3388,PySyft,2020-04-22 03:47:23,2020-04-24 05:01:35,"2 days, 1:14:12"
https://github.com/OpenMined/PySyft/issues/3369,PySyft,2020-04-17 12:04:29,2020-04-17 19:39:58,7:35:29
https://github.com/OpenMined/PySyft/issues/3355,PySyft,2020-04-14 14:28:43,2020-04-14 17:37:51,3:09:08
https://github.com/OpenMined/PySyft/issues/3344,PySyft,2020-04-12 15:44:42,2020-04-15 14:43:05,"2 days, 22:58:23"
https://github.com/OpenMined/PySyft/issues/3333,PySyft,2020-04-09 20:03:04,2020-04-19 15:08:51,"9 days, 19:05:47"
https://github.com/OpenMined/PySyft/issues/3261,PySyft,2020-03-27 13:48:18,2020-03-31 19:44:14,"4 days, 5:55:56"
https://github.com/OpenMined/PySyft/issues/3259,PySyft,2020-03-27 12:46:06,2020-04-07 13:59:24,"11 days, 1:13:18"
https://github.com/OpenMined/PySyft/issues/3250,PySyft,2020-03-24 05:52:09,2020-04-29 15:13:27,"36 days, 9:21:18"
https://github.com/OpenMined/PySyft/issues/3245,PySyft,2020-03-23 11:26:37,2020-05-05 18:44:08,"43 days, 7:17:31"
https://github.com/OpenMined/PySyft/issues/3214,PySyft,2020-03-17 23:33:26,2020-03-27 13:17:25,"9 days, 13:43:59"
https://github.com/OpenMined/PySyft/issues/3208,PySyft,2020-03-17 12:35:20,2020-03-18 11:30:57,22:55:37
https://github.com/OpenMined/PySyft/issues/3174,PySyft,2020-03-10 17:29:20,2020-03-12 11:11:30,"1 day, 17:42:10"
https://github.com/OpenMined/PySyft/issues/3131,PySyft,2020-03-02 15:50:38,2020-03-22 13:49:22,"19 days, 21:58:44"
https://github.com/OpenMined/PySyft/issues/3095,PySyft,2020-02-25 16:22:55,2020-02-26 05:20:38,12:57:43
https://github.com/OpenMined/PySyft/issues/3091,PySyft,2020-02-24 13:41:34,2020-03-14 14:17:42,"19 days, 0:36:08"
https://github.com/OpenMined/PySyft/issues/3063,PySyft,2020-02-18 15:33:40,2020-03-17 14:22:48,"27 days, 22:49:08"
https://github.com/OpenMined/PySyft/issues/3045,PySyft,2020-02-10 14:19:30,2020-02-10 14:25:54,0:06:24
https://github.com/OpenMined/PySyft/issues/3014,PySyft,2020-02-05 11:42:07,2020-02-18 11:48:46,"13 days, 0:06:39"
https://github.com/OpenMined/PySyft/issues/3002,PySyft,2020-02-03 15:00:32,2020-02-04 19:53:38,"1 day, 4:53:06"
https://github.com/OpenMined/PySyft/issues/2715,PySyft,2019-11-04 12:20:20,2020-05-24 00:08:31,"201 days, 11:48:11"
https://github.com/OpenMined/PySyft/issues/2682,PySyft,2019-10-19 17:36:05,2019-10-21 11:29:25,"1 day, 17:53:20"
https://github.com/OpenMined/PySyft/issues/2669,PySyft,2019-10-17 07:20:37,2019-11-13 00:37:36,"26 days, 17:16:59"
https://github.com/OpenMined/PySyft/issues/2631,PySyft,2019-09-27 10:45:27,2020-05-08 01:26:04,"223 days, 14:40:37"
https://github.com/OpenMined/PySyft/issues/2576,PySyft,2019-08-29 10:17:15,2019-09-07 17:53:54,"9 days, 7:36:39"
https://github.com/OpenMined/PySyft/issues/2556,PySyft,2019-08-26 07:41:36,2019-09-03 15:24:56,"8 days, 7:43:20"
https://github.com/OpenMined/PySyft/issues/2392,PySyft,2019-07-25 09:49:47,2019-08-02 15:53:02,"8 days, 6:03:15"
https://github.com/OpenMined/PySyft/issues/2390,PySyft,2019-07-24 21:46:30,2019-07-27 20:33:32,"2 days, 22:47:02"
https://github.com/OpenMined/PySyft/issues/2365,PySyft,2019-07-17 19:19:58,2019-07-18 14:41:20,19:21:22
https://github.com/OpenMined/PySyft/issues/2361,PySyft,2019-07-17 06:58:11,2019-07-17 17:22:49,10:24:38
https://github.com/OpenMined/PySyft/issues/2333,PySyft,2019-07-04 07:32:27,2019-07-09 19:48:18,"5 days, 12:15:51"
https://github.com/OpenMined/PySyft/issues/2281,PySyft,2019-06-13 15:24:31,2020-05-25 00:08:32,"346 days, 8:44:01"
https://github.com/OpenMined/PySyft/issues/2267,PySyft,2019-06-11 09:28:58,2019-06-11 11:37:56,2:08:58
